Year,Sex,Age group (years) at date of injury,Geographic region where injury occurred,Employment status,Occupation,Injury/illness/disease group,Type of injury/illness/disease,Industry,Industry subgroup,Value,Measure,Status
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,59.5,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,59.5,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,60.8,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,52.1,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,52.2,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,51.9,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,61.8,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,61.9,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,62.4,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Soft tissue injury,Total,Total,63.2,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,21.2,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,20.7,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,20.4,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,20.5,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19.9,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19.7,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19.3,Percentage of all claims,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,18.6,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19.9,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,20.2,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,17.9,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,18.1,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,17.8,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19.1,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,19,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,18.7,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Laceration puncture or sting,Total,Total,18.5,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,7,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,6.5,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,6.3,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,5.8,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,5.5,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,5.2,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.7,Percentage of all claims,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.6,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.6,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.5,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.4,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,4.1,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,3.7,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,3.8,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,3.6,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,3.5,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Foreign body in orifice or eye,Total,Total,3.3,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,4,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.9,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.9,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.8,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.7,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.8,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.8,Percentage of all claims,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.9,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,4,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,4.1,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.6,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.6,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,4,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.8,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.9,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Fracture or dislocation,Total,Total,3.9,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,2.1,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.9,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,2,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,2.1,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,2,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.9,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.9,Percentage of all claims,Final
2009,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.8,Percentage of all claims,Final
2010,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.9,Percentage of all claims,Final
2011,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.9,Percentage of all claims,Final
2012,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.7,Percentage of all claims,Final
2013,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.6,Percentage of all claims,Final
2014,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.5,Percentage of all claims,Final
2015,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.7,Percentage of all claims,Final
2016,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.7,Percentage of all claims,Final
2017,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.7,Percentage of all claims,Final
2018,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Burns (burn scald or corrosive injury),Total,Total,1.7,Percentage of all claims,Provisional
2002,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.8,Percentage of all claims,Final
2003,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.8,Percentage of all claims,Final
2004,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.8,Percentage of all claims,Final
2005,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.8,Percentage of all claims,Final
2006,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.9,Percentage of all claims,Final
2007,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,0.9,Percentage of all claims,Final
2008,Total,Total,Total,Total,Total,Injury poisoning  and consequences of external causes,Dental injury,Total,Total,1,Percentage of all claims,Final
